,start_station_name,num_of_trips
539,Central Ave & Chicago Ave,1376
1151,Central Ave & Corcoran Pl,7
1216,Central Ave & George St,5
641,Central Ave & Harrison St,440
599,Central Ave & Lake St,640
593,Central Ave & Madison St,679
1436,Central Ave & North Ave,2
788,Central Ave & Parker Ave,161
702,Central Ave & Roscoe St,302
851,Central Park & Augusta Blvd,101
601,Central Park Ave & 24th St,632
370,Central Park Ave & Bloomingdale Ave,7959
821,Central Park Ave & Douglas Blvd,125
403,Central Park Ave & Elbridge Ave,5966
461,Central Park Ave & North Ave,3291
530,Central Park Ave & Ogden Ave,1617
776,Central Park Ave & Ohio St,176
604,Central Park Blvd & 5th Ave,621
453,Central St & Girard Ave,3505
450,Central St Metra,3674
1375,Chappel Ave & 71st St,2
1396,Chase Ave & Touhy Ave - NE,2
1268,Chase Ave & Touhy Ave - NW,4
433,Cherry Ave & Blackhawk St,4514
510,Chicago Ave & Dempster St,2184
323,Chicago Ave & Sheridan Rd,11064
335,Chicago Ave & Washington St,9884
583,Chicago State University,793
1490,Chopin Park,1
1088,Christiana Ave & 55th St,11
909,Christiana Ave & Archer Ave,54
1014,Christiana Ave & Belmont Ave,21
1473,Christiana Ave & Bryn Mawr Ave,1
436,Christiana Ave & Lawrence Ave,4288
1219,Cicero Ave & Altgeld St,5
1403,Cicero Ave & Cortland St - midblock,2
746,Cicero Ave & Flournoy St,216
817,Cicero Ave & Grace St,126
650,Cicero Ave & Lake St,422
1423,Cicero Ave & Le Moyne St - midblock,2
1156,Cicero Ave & North Ave,7
677,Cicero Ave & Quincy St,361
1267,Cicero Ave & Roscoe St,4
951,Cicero Ave & Wellington Ave,37
921,Cicero Ave & Wrightwood Ave,49
1538,City Rack - Albany Ave & 103rd St,1
113,Cityfront Plaza Dr & Pioneer Ct,36745
1101,Claremont Ave & 71st St,10
385,Claremont Ave & Hirsch St,7268
121,Clarendon Ave & Gordon Ter,35470
138,Clarendon Ave & Junior Ter,32511
234,Clarendon Ave & Leland Ave,19612
252,Clark St & 9th St (AMLI),17392
8,Clark St & Armitage Ave,81827
174,Clark St & Berwyn Ave,27816
238,Clark St & Bryn Mawr Ave,19487
108,Clark St & Chicago Ave,37882
412,Clark St & Columbia Ave,5744
34,Clark St & Drummond Pl,61125
1,Clark St & Elm St,103640
349,Clark St & Elmdale Ave,9249
102,Clark St & Grace St,39701
262,Clark St & Ida B Wells Dr,16454
463,Clark St & Jarvis Ave,3258
89,Clark St & Lake St,43160
190,Clark St & Leland Ave,25002
10,Clark St & Lincoln Ave,79189
390,Clark St & Lunt Ave,6874
258,Clark St & Montrose Ave,17031
45,Clark St & Newport St,54133
114,Clark St & North Ave,36581
99,Clark St & Randolph St,40316
38,Clark St & Schiller St,58507
371,Clark St & Schreiber Ave,7912
486,Clark St & Touhy Ave,2633
55,Clark St & Wellington Ave,50551
135,Clark St & Winnemac Ave,33064
22,Clark St & Wrightwood Ave,65087
162,Clifton Ave & Armitage Ave,28979
363,Clinton St & 18th St,8268
110,Clinton St & Jackson Blvd,37381
74,Clinton St & Lake St,46604
18,Clinton St & Madison St,66731
465,Clinton St & Polk St,3227
217,Clinton St & Roosevelt Rd,21988
329,Clinton St & Tilden St,10367
40,Clinton St & Washington Blvd,57229
236,Clybourn Ave & Division St,19506
715,Clyde Ave & 87th St,272
1422,Colfax Ave & 83rd St,2
24,Columbus Dr & Randolph St,63778
848,Commercial Ave & 100th St,102
694,Commercial Ave & 130th St,328
621,Commercial Ave & 83rd St,529
1157,Commercial Ave & 89th St,7
513,Conservatory Dr & Lake St,2162
756,Constance Ave & 95th St,200
1523,Corliss Ave & 133rd St,1
216,Cornell Ave & Hyde Park Blvd,22082
555,Cornell Dr & Hayes Dr,1108
1204,Cottage Grove & 85th St,5
1095,Cottage Grove & 86th St,10
685,Cottage Grove Ave & 111th Pl,346
1041,Cottage Grove Ave & 111th St,16
468,Cottage Grove Ave & 43rd St,3149
445,Cottage Grove Ave & 47th St,3799
439,Cottage Grove Ave & 51st St,4182
501,Cottage Grove Ave & 63rd St,2408
572,Cottage Grove Ave & 67th St,897
629,Cottage Grove Ave & 71st St,483
1181,Cottage Grove Ave & 75th St,6
623,Cottage Grove Ave & 78th St,520
590,Cottage Grove Ave & 83rd St,712
1107,Cottage Grove Ave & 87th St,9
1290,Cottage Grove Ave & 91st St,3
1540,Cottage Grove Ave & 92nd St,1
1083,Cottage Grove Ave & 98th St,11
428,Cottage Grove Ave & Oakwood Blvd,4990
1248,DIVVY CASSETTE REPAIR MOBILE STATION,4
73,Daley Center Plaza,47058
865,Damen Ave & 33rd St,86
1086,Damen Ave & 47th St,11
711,Damen Ave & 51st St,279
644,Damen Ave & 59th St,433
974,Damen Ave & 74th St,31
1567,Damen Ave & 80th St,1
269,Damen Ave & Charleston St,15760
156,Damen Ave & Chicago Ave,29886
304,Damen Ave & Clybourn Ave,12885
144,Damen Ave & Cortland St,31810
518,Damen Ave & Coulter St,1995
378,Damen Ave & Cullerton St,7646
183,Damen Ave & Division St,26224
320,Damen Ave & Foster Ave,11407
292,Damen Ave & Grand Ave,13947
277,Damen Ave & Leland Ave,15164
372,Damen Ave & Madison St,7886
338,Damen Ave & Melrose Ave,9727
534,Damen Ave & Pershing Rd,1459
44,Damen Ave & Pierce Ave,54472
342,Damen Ave & Sunnyside Ave,9607
218,Damen Ave & Thomas St (Augusta Blvd),21828
471,Damen Ave & Wabansia Ave,3067
394,Damen Ave & Walnut (Lake) St,6561
774,Damen Ave & Walnut (Lake) St (*),176
300,Damen Ave & Wellington Ave,13230
740,Dauphin Ave & 103rd St,228
653,Dauphin Ave & 87th St,412
150,Dayton St & North Ave,30556
30,Dearborn Pkwy & Delaware Pl,62108
202,Dearborn St & Adams St,23974
12,Dearborn St & Erie St,78771
68,Dearborn St & Monroe St,48133
240,Dearborn St & Van Buren St,19266
241,Delano Ct & Roosevelt Rd,18735
132,Desplaines St & Jackson Blvd,33559
23,Desplaines St & Kinzie St,64940
148,Desplaines St & Randolph St,31577
1113,Divvy Valet - Oakwood Beach,9
499,Dodge Ave & Church St,2448
570,Dodge Ave & Main St,900
529,Dodge Ave & Mulford St,1619
457,Dorchester Ave & 49th St,3424
504,Dorchester Ave & 63rd St,2367
845,Doty Ave & 111th St,105
483,Drake Ave & Addison St,2741
491,Drake Ave & Fullerton Ave,2526
452,Drake Ave & Montrose Ave,3529
1562,Drexel Ave & 87th St,1
159,DuSable Lake Shore Dr & Belmont Ave,29655
147,DuSable Lake Shore Dr & Diversey Pkwy,31690
36,DuSable Lake Shore Dr & Monroe St,59596
33,DuSable Lake Shore Dr & North Blvd,61161
334,DuSable Lake Shore Dr & Ohio St,9996
160,DuSable Lake Shore Dr & Wellington Ave,29225
490,DuSable Museum,2546
58,Dusable Harbor,49938
699,East End Ave & 87th St,308
741,Eastlake Ter & Howard St,228
387,Eastlake Ter & Rogers Ave,7133
802,Eberhart Ave & 131st St,144
548,Eberhart Ave & 61st St,1262
669,Eberhart Ave & 91st St,373
184,Eckhart Park,25893
1397,Eggleston Ave & 114th St,2
658,Eggleston Ave & 69th St,398
1224,Eggleston Ave & 69th St (*),5
736,Eggleston Ave & 92nd St,242
1103,Eli Whitney Public School,9
295,Elizabeth (May) St & Fulton St,13667
705,Elizabeth St & 47th St,294
829,Elizabeth St & 59th St,116
657,Elizabeth St & 92nd St,401
547,Elizabeth St & Fulton St,1272
1366,Ellis Ave & 132nd Pl,2
276,Ellis Ave & 53rd St,15299
129,Ellis Ave & 55th St,33779
230,Ellis Ave & 58th St,20013
84,Ellis Ave & 60th St,44502
642,Ellis Ave & 83rd St,437
485,Elmwood Ave & Austin St,2723
289,Elston Ave & Cortland St,14178
554,Elston Ave & George St,1138
619,Elston Ave & Henderson St,534
357,Elston Ave & Wabansia Ave,8610
386,Emerald Ave & 28th St,7252
281,Emerald Ave & 31st St,14712
1111,Emerald Ave & 43rd St,9
1330,Emerald Ave & 45th St,3
1273,Evans Ave & 63rd St,4
635,Evans Ave & 75th St,461
451,Evanston Civic Center,3636
1377,Ewing Ave & 101st St,2
1263,Ewing Ave & 105th St,4
1301,Ewing Ave & 106th St,3
1410,Ewing Ave & 112th St,2
1234,Ewing Ave & 96th St,4
1492,Ewing Ave & 99th St,1
748,Ewing Ave & Burnham Greenway,207
1427,Ewing Ave & Indianapolis Ave,2
608,Exchange Ave & 79th St,604
29,Fairbanks Ct & Grand Ave,62864
206,Fairbanks St & Superior St,23614
847,Fairfield Ave & 44th St,102
535,Fairfield Ave & Roosevelt Rd,1456
62,Federal St & Polk St,49116
131,Field Blvd & South Water St,33584
229,Field Museum,20259
225,Financial Pl & Ida B Wells Dr,20864
1317,Forrestville Ave & 47th St,3
168,Fort Dearborn Dr & 31st St,28444
813,Francisco Ave & 47th St,130
588,Francisco Ave & Bloomingdale Ave,739
400,Francisco Ave & Foster Ave,6164
883,Francisco Ave & Hollywood Ave,69
569,Francisco Ave & Montrose Ave,912
205,Franklin St & Adams St (Temp),23749
98,Franklin St & Chicago Ave,40346
93,Franklin St & Illinois St,41647
81,Franklin St & Jackson Blvd,44633
95,Franklin St & Lake St,40619
106,Franklin St & Monroe St,38578
789,Fullerton & Monitor,161
317,Glenwood Ave & Morse Ave,11629
415,Glenwood Ave & Touhy Ave,5458
1203,Grand Ave & North Ave,5
1328,Green St & 103rd St,3
634,Green St & Madison Ave*,461
32,Green St & Madison St,61521
120,Green St & Randolph St,35786
336,Green St & Randolph St*,9864
458,Green St & Washington Blvd,3417
247,Greenview Ave & Diversey Pkwy,18056
139,Greenview Ave & Fullerton Ave,32491
358,Greenview Ave & Jarvis Ave,8601
405,Greenwood Ave & 47th St,5939
651,Greenwood Ave & 79th St,417
1535,Greenwood Ave & 87th St,1
792,Greenwood Ave & 91st St,153
656,Greenwood Ave & 97th St,405
1051,Greenwood Ave & Lake Park Ave,14
446,HQ QR,3766
660,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),395
676,Hale Ave & 107th St,363
1392,Hale Ave & 111th St,2
638,Halsted & 63rd - Kennedy-King Vaccination Site,452
1434,Halsted St & 102nd St,2
754,Halsted St & 104th St,202
752,Halsted St & 111th St,204
380,Halsted St & 18th St,7502
528,Halsted St & 18th St (Temp),1681
431,Halsted St & 21st St,4815
414,Halsted St & 35th St,5510
526,Halsted St & 37th St,1715
1430,Halsted St & 41st St,2
